d,delta_over_d4,limit
3.16227766e-05,-0.116536458175,-0.116536458333
3.395746422e-05,-0.116536458151,-0.116536458333
3.646452021e-05,-0.116536458123,-0.116536458333
3.91566704e-05,-0.116536458091,-0.116536458333
4.204758016e-05,-0.116536458054,-0.116536458333
4.515192378e-05,-0.116536458011,-0.116536458333
4.848545894e-05,-0.116536457961,-0.116536458333
5.206510668e-05,-0.116536457904,-0.116536458333
5.590903733e-05,-0.116536457839,-0.116536458333
6.00367627e-05,-0.116536457763,-0.116536458333
6.446923517e-05,-0.116536457676,-0.116536458333
6.9228954e-05,-0.116536457575,-0.116536458333
7.434007957e-05,-0.116536457459,-0.116536458333
7.982855598e-05,-0.116536457325,-0.116536458333
8.572224279e-05,-0.116536457171,-0.116536458333
9.205105641e-05,-0.116536456993,-0.116536458333
9.884712194e-05,-0.116536456787,-0.116536458333
0.0001061449363,-0.116536456551,-0.116536458333
0.0001139815431,-0.116536456278,-0.116536458333
0.0001223967213,-0.116536455963,-0.116536458333
0.0001314331861,-0.1165364556,-0.116536458333
0.0001411368069,-0.116536455181,-0.116536458333
0.0001515568393,-0.116536454699,-0.116536458333
0.0001627461754,-0.116536454142,-0.116536458333
0.0001747616125,-0.116536453501,-0.116536458333
0.0001876641409,-0.116536452761,-0.116536458333
0.000201519254,-0.116536451908,-0.116536458333
0.0002163972805,-0.116536450924,-0.116536458333
0.0002323737413,-0.116536449789,-0.116536458333
0.0002495297332,-0.116536448481,-0.116536458333
0.0002679523399,-0.116536446973,-0.116536458333
0.000287735075,-0.116536445233,-0.116536458333
0.0003089783556,-0.116536443227,-0.116536458333
0.0003317900129,-0.116536440915,-0.116536458333
0.000356285839,-0.116536438248,-0.116536458333
0.0003825901749,-0.116536435172,-0.116536458333
0.0004108365417,-0.116536431626,-0.116536458333
0.000441168318,-0.116536427537,-0.116536458333
0.0004737394684,-0.116536422822,-0.116536458333
0.0005087153241,-0.116536417385,-0.116536458333
0.000546273423,-0.116536411115,-0.116536458333
0.0005866044102,-0.116536403886,-0.116536458333
0.0006299130061,-0.116536395549,-0.116536458333
0.0006764190456,-0.116536385936,-0.116536458333
0.0007263585937,-0.116536374852,-0.116536458333
0.0007799851439,-0.11653636207,-0.116536458333
0.0008375709051,-0.116536347331,-0.116536458333
0.000899408183,-0.116536330335,-0.116536458333
0.0009658108641,-0.116536310738,-0.116536458333
0.001037116009,-0.116536288139,-0.116536458333
0.001113685563,-0.116536262081,-0.116536458333
